Partlist,,,
,,,
Exported from boardV3.brd at 3/21/2013 12:19:48 PM,,,
,,,
EAGLE Version 6.2.0 Copyright (c) 1988-2012 CadSoft,,,
,,,
Assembly variant: ,,,
,,,
Part          Value               Package            Library                    Position (inch)       Orientation,,,cost of major items
,,,
ACCELEROMETER ADXL345             LGA14              SparkFun-Sensors           (0.8900935 0.36005426) R90,,,
C1            4.7uF               0603-CAP           SparkFun-Passives          (0.07668406 0.98047773) R0,20,,
C2            4.7uF               0603-CAP           SparkFun-Passives          (1.38083046 0.91739358) R0,0,,
C3            .1uF                0603-CAP           SparkFun-Passives          (0.93067064 1.06021764) R180,40,,
C4            10uF                0603-CAP           SparkFun-Passives          (1.34572306 1.05243762) R0,10,1,
C5            22uF                0603-CAP           SparkFun-Passives          (1.27189235 1.33080832) R0,10,,
C6            .1uF                0603-CAP           SparkFun-Passives          (0.94825344 1.33350135) R0,1,,
C7            1uF                 0603-CAP           SparkFun-Passives          (0.98358108 0.78981115) R270,40,,
C8            10nF                0603-CAP           SparkFun-Passives          (0.9016485 0.93234818) R0,20,,
C9            10uF                EIA3216            SparkFun-Capacitors        (1.22307333 0.78672269) R180,10,,
C10           0.1uF               0603-CAP           SparkFun-Passives          (1.23151907 0.69393258) R180,0,,
C11           0.1uF               0603-CAP           SparkFun-Passives          (1.05276353 0.30592101) R270,0,,
C12           16pF                0603-CAP           SparkFun-Passives          (1.1142436 0.20551538) R90,20,,
C13           16pF                0603-CAP           SparkFun-Passives          (0.8215299 0.17988201) R270,0,,
C14           1uF\                0603-CAP           SparkFun-Passives          (1.42353433 0.7525139) R0,0,,
C15           1uF                 0603-CAP           SparkFun-Passives          (1.38257 0.99224446)  R0,0,,
I2C                               1X02_PP_HOLES_ONLY SparkFun-Connectors        (0.695 0.08)          R180,,,
,,,
JP2                               JST-2-PTH-NS       SparkFun-Connectors        (0.26581545 1.24871789) R270,,,
JP3           M05X2PTH            AVR_ICSP           SparkFun-Connectors        (1.18503937 1.19527559) R90,,,
JP4                               MOLEX-1X4          SparkFun-Connectors        (1.26764284 0.05305795) R0,,,
JP5                               1X07               SparkFun-Connectors        (1.725 0.375)         R90,,,
JP6                               1X07               SparkFun-Connectors        (2.025 0.375)         R90,,,
L1            4.7uH               CDRH2D09           SparkFun-Passives          (0.69651206 1.33958661) R180,10,,
LED1                              LED-0603           SparkFun-LED               (0.13243873 0.44922502) R180,10,,
LED2                              LED-0603           SparkFun-LED               (0.07174151 0.4503611) R180,10,,
LED3                              LED-0603           SparkFun-LED               (1.61824496 0.35316831) R180,0,,
LED4                              LED-0603           SparkFun-LED               (1.56775935 0.32048561) R180,0,,
LED5                              LED-0603           SparkFun-LED               (1.57 0.915)          R0,0,,
R1            10k                 0603-RES           SparkFun-Resistors         (1.905 0.675)         R0,0,,
R2            10k                 0603-RES           SparkFun-Passives          (0.12279934 0.93463152) R0,0,,
R3            2M                  0603-RES           SparkFun-Passives          (0.92868873 1.0083627) R0,100,,
R4            100                 0603-RES           SparkFun-Passives          (0.6137484 1.25122047) R180,100,,
R5            10k                 0603-RES           SparkFun-Passives          (1.20547441 1.0092297) R0,100,,
R6            10k                 0603-RES           SparkFun-Passives          (0.59101095 1.19740108) R180,0,,
R7            220k                0603-RES           SparkFun-Passives          (0.59400849 1.13955672) R0,100,,
R8            2M                  0603-RES           SparkFun-Resistors         (1.14282603 1.32982702) R180,0,,
R9            220k                0603-RES           SparkFun-Resistors         (1.20428888 1.05995952) R180,0,,
R10           1k                  0603-RES           SparkFun-Passives          (1.03114444 0.92916031) R0,100,,
R11           4.7k                0603-RES           SparkFun-Passives          (0.85278039 0.65082148) R270,100,,
R12           10k             0402-RES           SparkFun-Passives          (0.95808981 0.56292655) R0,,,
R13           10k              0402-RES           SparkFun-Passives          (0.86375726 0.56392175) R180,0,,
R14           330                 0603-RES           SparkFun-Passives          (0.13093184 0.30651845) R90,50,,
R15           10k                 0603-RES           SparkFun-Passives          (0.18674336 0.31089948) R90,0,,
R16           330                 0603-RES           SparkFun-Passives          (0.07205438 0.30606582) R90,0,,
R17           330                 0603-RES           SparkFun-Passives          (1.69810347 0.2808253) R180,0,,
R18           330                 0603-RES           SparkFun-Passives          (1.54212279 0.21486946) R180,0,,
R19           10k                 0603-RES           SparkFun-Resistors         (1.905 0.575)         R0,0,,
R20           10k                 0603-RES           SparkFun-Resistors         (1.905 0.375)         R0,0,,
R21           10k                 0603-RES           SparkFun-Resistors         (1.905 0.875)         R0,0,,
R22           10k                 0603-RES           SparkFun-Resistors         (1.905 0.475)         R0,0,,
R23           330                 0603-RES           SparkFun-Passives          (1.565 1.01)          R180,0,,
S1                                JOYSTICK_MINI      SparkFun-Electromechanical (2.295 0.50571075)    R45,,sparkfun,
SPI                               MOLEX-1X4          SparkFun-Connectors        (0.625 0.9)           R180,,,
U$1           LPC1113/14-LQFP48   LQFP48             lpc1100v1.1                (1.28898782 0.38440157) R270,10,,
"U$2           BLUETOOTH-RN41""     RN41               SparkFun-RF                (0.48 0.71)           R90",5,,35
U$3           MOTOR10MM           VIBE-MOTOR-10MM    SparkFun-Electromechanical (1.72896666 0.74247416) R0,,sparkfun,
U1            MCP73831            SOT23-5            SparkFun-PowerIC           (0.11275468 1.09852842) R180,10,,
U2            TPS61200            QFN-10_PAD         SparkFun-PowerIC           (0.84615231 1.18869956) R180,10,,
U3            MAX1704X            TDFN-8             SparkFun-PowerIC           (0.87816043 0.78680598) R270,10,,
U4            V_REG_LDOSMD        SOT23-5            SparkFun-PowerIC           (1.20900517 0.9004909) R90,10,,
Y1            16MHz               CRYSTAL-SMD-5X3    SparkFun-FreqCtrl          (0.97567667 0.16959227) R180,10,,
screen ,,sparkfun,55
